label,property,type,indexed,unique,description
Company,entity_id,STRING,FALSE,FALSE,エンティティID
Company,entity_key,STRING,FALSE,FALSE,複合キー（name::entity_type）
Company,entity_type,STRING,FALSE,FALSE,エンティティ種別（company）
Company,name,STRING,FALSE,FALSE,会社名
Company,ticker,STRING,FALSE,FALSE,ティッカーシンボル
Company,full_name,STRING,FALSE,FALSE,正式名称
Company,aliases,LIST,FALSE,FALSE,別名リスト
Company,description,STRING,FALSE,FALSE,会社説明
Company,country,STRING,FALSE,FALSE,国コード
Company,sector,STRING,FALSE,FALSE,GICSセクター
Company,industry,STRING,FALSE,FALSE,業種
Company,sub_sector,STRING,FALSE,FALSE,サブセクター
Company,exchange,STRING,FALSE,FALSE,取引所
Company,fiscal_year_end,STRING,FALSE,FALSE,決算月
Company,sic_code,STRING,FALSE,FALSE,SICコード
Company,sic_description,STRING,FALSE,FALSE,SIC説明
Company,sec_cik,STRING,FALSE,FALSE,SEC CIK番号
Company,sec_name,STRING,FALSE,FALSE,SECに登録された正式名称
Company,sub_type,STRING,FALSE,FALSE,サブタイプ
Company,enriched_at,STRING,FALSE,FALSE,エンリッチメント日時
Company,ingested_at,DATE_TIME,FALSE,FALSE,投入日時
Company,created_at,DATE_TIME,FALSE,FALSE,作成日時
Company,updated_at,DATE_TIME,FALSE,FALSE,更新日時
Concept,entity_id,STRING,FALSE,FALSE,エンティティID
Concept,entity_key,STRING,FALSE,FALSE,複合キー（name::entity_type）
Concept,entity_type,STRING,FALSE,FALSE,エンティティ種別（concept）
Concept,name,STRING,FALSE,FALSE,概念名
Concept,sub_type,STRING,FALSE,FALSE,サブタイプ
Concept,sector,STRING,FALSE,FALSE,関連セクター
Concept,industry,STRING,FALSE,FALSE,関連業種
Concept,match_layer,STRING,FALSE,FALSE,マッチングレイヤー
Concept,matched_name,STRING,FALSE,FALSE,マッチングした名称
Concept,resolved,BOOLEAN,FALSE,FALSE,名寄せ解決済みフラグ
Concept,enriched_at,STRING,FALSE,FALSE,エンリッチメント日時
Concept,created_at,DATE_TIME,FALSE,FALSE,作成日時
Concept,updated_at,DATE_TIME,FALSE,FALSE,更新日時
ConceptCategory,concept_category_id,STRING,FALSE,FALSE,カテゴリID
ConceptCategory,name,STRING,FALSE,FALSE,カテゴリ名（英語）
ConceptCategory,name_ja,STRING,FALSE,FALSE,カテゴリ名（日本語）
ConceptCategory,layer,STRING,FALSE,FALSE,階層レベル
Country,entity_id,STRING,FALSE,FALSE,エンティティID
Country,entity_key,STRING,FALSE,FALSE,複合キー（name::entity_type）
Country,entity_type,STRING,FALSE,FALSE,エンティティ種別（country）
Country,name,STRING,FALSE,FALSE,国名
Country,description,STRING,FALSE,FALSE,説明
Country,sub_type,STRING,FALSE,FALSE,サブタイプ
Country,enriched_at,STRING,FALSE,FALSE,エンリッチメント日時
Country,ingested_at,DATE_TIME,FALSE,FALSE,投入日時
Country,updated_at,DATE_TIME,FALSE,FALSE,更新日時
DataPointType,datapoint_type_id,STRING,FALSE,FALSE,データポイント種別ID
DataPointType,name,STRING,FALSE,FALSE,種別名（英語）
DataPointType,name_ja,STRING,FALSE,FALSE,種別名（日本語）
Domain,domain_id,STRING,FALSE,FALSE,ドメインID
Domain,name,STRING,FALSE,FALSE,ドメイン名
Domain,domain_name,STRING,FALSE,FALSE,ドメイン名（別プロパティ）
Domain,base_url,STRING,FALSE,FALSE,ベースURL
Domain,default_language,STRING,FALSE,FALSE,デフォルト言語
Domain,created_at,DATE_TIME,FALSE,FALSE,作成日時
Domain,updated_at,DATE_TIME,FALSE,FALSE,更新日時
Entity,entity_id,STRING,RANGE,UNIQUE,エンティティUUID
Entity,entity_key,STRING,RANGE,UNIQUE,複合キー（name::entity_type）
Entity,entity_type,STRING,RANGE,FALSE,エンティティ種別
Entity,name,STRING,RANGE+FULLTEXT,FALSE,正規化名称
Entity,ticker,STRING,RANGE,UNIQUE,ティッカーシンボル
Entity,aliases,LIST,FALSE,FALSE,別名リスト
Entity,description,STRING,FALSE,FALSE,説明文
Entity,full_name,STRING,FALSE,FALSE,正式名称
Entity,country,STRING,FALSE,FALSE,国コード
Entity,sector,STRING,FALSE,FALSE,セクター
Entity,industry,STRING,FALSE,FALSE,業種
Entity,sub_sector,STRING,FALSE,FALSE,サブセクター
Entity,sub_type,STRING,FALSE,FALSE,サブタイプ
Entity,exchange,STRING,FALSE,FALSE,取引所
Entity,fiscal_year_end,STRING,FALSE,FALSE,決算月
Entity,sic_code,STRING,FALSE,FALSE,SICコード
Entity,sic_description,STRING,FALSE,FALSE,SIC説明
Entity,sec_cik,STRING,FALSE,FALSE,SEC CIK番号
Entity,sec_name,STRING,FALSE,FALSE,SEC登録名称
Entity,match_layer,STRING,FALSE,FALSE,マッチングレイヤー（exact/fuzzy/vector等）
Entity,matched_name,STRING,FALSE,FALSE,マッチングした名称
Entity,resolved,BOOLEAN,FALSE,FALSE,名寄せ解決済みフラグ
Entity,enriched_at,STRING,FALSE,FALSE,エンリッチメント日時
Entity,ingested_at,DATE_TIME,FALSE,FALSE,投入日時
Entity,created_at,DATE_TIME,FALSE,FALSE,作成日時
Entity,updated_at,DATE_TIME,FALSE,FALSE,更新日時
EntityType,entity_type_id,STRING,FALSE,FALSE,EntityType ID
EntityType,name,STRING,FALSE,FALSE,種別名（英語）
EntityType,name_ja,STRING,FALSE,FALSE,種別名（日本語）
Fact,fact_id,STRING,RANGE,UNIQUE,Fact UUID
Fact,fact_type,STRING,RANGE,FALSE,事実種別（financial/event/regulatory/macro等）
Fact,content,STRING,FULLTEXT,FALSE,事実内容
Fact,statement,STRING,FALSE,FALSE,命題形式
Fact,summary,STRING,FALSE,FALSE,要約
Fact,name,STRING,FALSE,FALSE,事実名称
Fact,description,STRING,FALSE,FALSE,詳細説明
Fact,value,STRING,FALSE,FALSE,数値・定量データ
Fact,as_of_date,STRING,RANGE,FALSE,情報基準日
Fact,event_date,STRING,FALSE,FALSE,イベント発生日
Fact,period,STRING,FALSE,FALSE,対象期間
Fact,source_url,STRING,RANGE,FALSE,元ソースURL
Fact,source_id,STRING,FALSE,FALSE,参照Source ID
Fact,source,STRING,FALSE,FALSE,ソース名（非正規化）
Fact,source_context,STRING,FALSE,FALSE,ソースコンテキスト
Fact,search_query,STRING,FALSE,FALSE,検索クエリ（Webリサーチ由来）
Fact,search_source,STRING,FALSE,FALSE,検索エンジン名
Fact,confidence,FLOAT,FALSE,FALSE,確信度（0.0〜1.0）
Fact,data_vintage,STRING,FALSE,FALSE,データビンテージ
Fact,phase,INTEGER,FALSE,FALSE,パイプラインフェーズ番号
Fact,category,STRING,FALSE,FALSE,カテゴリ分類
Fact,country,STRING,FALSE,FALSE,対象国コード
Fact,ingested_at,DATE_TIME,FALSE,FALSE,投入日時
Fact,created_at,DATE_TIME,FALSE,FALSE,作成日時
Fact,updated_at,DATE_TIME,FALSE,FALSE,更新日時
FactType,fact_type_id,STRING,FALSE,FALSE,FactType ID
FactType,name,STRING,FALSE,FALSE,事実種別名（英語）
FactType,name_ja,STRING,FALSE,FALSE,事実種別名（日本語）
FinancialDataPoint,datapoint_id,STRING,RANGE,UNIQUE,データポイントUUID
FinancialDataPoint,metric_name,STRING,RANGE,FALSE,指標名（EPS/Revenue/EBITDA等）
FinancialDataPoint,metric_id,STRING,FALSE,FALSE,Metric ノード参照ID
FinancialDataPoint,value,FLOAT,FALSE,FALSE,数値
FinancialDataPoint,unit,STRING,FALSE,FALSE,単位
FinancialDataPoint,currency,STRING,FALSE,FALSE,通貨
FinancialDataPoint,period_label,STRING,FALSE,FALSE,期間ラベル（2024-Q3等）
FinancialDataPoint,period_end,STRING,FALSE,FALSE,期末日
FinancialDataPoint,as_of_date,STRING,FALSE,FALSE,基準日
FinancialDataPoint,raw_label,STRING,FALSE,FALSE,元ラベル
FinancialDataPoint,is_estimate,BOOLEAN,RANGE,FALSE,予測値フラグ
FinancialDataPoint,xbrl_concept,STRING,FALSE,FALSE,XBRLコンセプト名
FinancialDataPoint,sec_form_type,STRING,FALSE,FALSE,SEC Form種別（10-K/10-Q等）
FinancialDataPoint,filing_date,STRING,FALSE,FALSE,SEC提出日
FinancialDataPoint,source_hash,STRING,FALSE,FALSE,Source単位スコーピング用ハッシュ
FinancialDataPoint,source,STRING,FALSE,FALSE,ソース名（非正規化）
FinancialDataPoint,note,STRING,FALSE,FALSE,備考
FinancialDataPoint,created_at,DATE_TIME,FALSE,FALSE,作成日時
FiscalPeriod,period_id,STRING,RANGE,UNIQUE,期間UUID
FiscalPeriod,period_label,STRING,RANGE,FALSE,期間ラベル（2024-Q3等）
FiscalPeriod,period_type,STRING,FALSE,FALSE,期間種別（annual/quarterly/half_year）
FiscalPeriod,fiscal_year,INTEGER,FALSE,FALSE,会計年度
FiscalPeriod,fiscal_quarter,INTEGER,FALSE,FALSE,会計四半期
FiscalPeriod,calendar_year,INTEGER,FALSE,FALSE,暦年
FiscalPeriod,calendar_quarter,INTEGER,FALSE,FALSE,暦四半期
FiscalPeriod,start_date,STRING,FALSE,FALSE,開始日
FiscalPeriod,end_date,STRING,FALSE,FALSE,終了日
FiscalPeriod,entity_id,STRING,FALSE,FALSE,企業エンティティID（会社固有の会計期間）
Identifier,identifier_id,STRING,FALSE,FALSE,識別子ID
Identifier,scheme,STRING,FALSE,FALSE,識別子スキーム（ISIN/CUSIP/CIK等）
Identifier,type,STRING,FALSE,FALSE,識別子タイプ
Identifier,value,STRING,FALSE,FALSE,識別子値
Indicator,entity_id,STRING,FALSE,FALSE,エンティティID
Indicator,entity_key,STRING,FALSE,FALSE,複合キー（name::entity_type）
Indicator,entity_type,STRING,FALSE,FALSE,エンティティ種別（indicator）
Indicator,name,STRING,FALSE,FALSE,経済指標名（GDP/CPI/FFR等）
Indicator,description,STRING,FALSE,FALSE,説明
Indicator,sub_type,STRING,FALSE,FALSE,サブタイプ
Indicator,sector,STRING,FALSE,FALSE,関連セクター
Indicator,industry,STRING,FALSE,FALSE,関連業種
Indicator,enriched_at,STRING,FALSE,FALSE,エンリッチメント日時
Indicator,updated_at,DATE_TIME,FALSE,FALSE,更新日時
Industry,industry_id,STRING,FALSE,FALSE,業種ID
Industry,name,STRING,FALSE,FALSE,業種名
Insight,insight_id,STRING,RANGE,UNIQUE,Insight UUID
Insight,insight_type,STRING,RANGE,FALSE,洞察種別
Insight,content,STRING,FALSE,FALSE,洞察内容
Insight,priority,STRING,FALSE,FALSE,優先度（high/medium/low）
Insight,category,STRING,FALSE,FALSE,カテゴリ分類
Insight,source_context,STRING,FALSE,FALSE,ソースコンテキスト
Insight,created_at,DATE_TIME,FALSE,FALSE,作成日時
Instrument,entity_id,STRING,FALSE,FALSE,エンティティID
Instrument,entity_key,STRING,FALSE,FALSE,複合キー（name::entity_type）
Instrument,entity_type,STRING,FALSE,FALSE,エンティティ種別（instrument）
Instrument,name,STRING,FALSE,FALSE,金融商品名
Instrument,ticker,STRING,FALSE,FALSE,ティッカー
Instrument,aliases,LIST,FALSE,FALSE,別名リスト
Instrument,sub_type,STRING,FALSE,FALSE,サブタイプ
Instrument,sector,STRING,FALSE,FALSE,関連セクター
Instrument,industry,STRING,FALSE,FALSE,関連業種
Instrument,enriched_at,STRING,FALSE,FALSE,エンリッチメント日時
Instrument,updated_at,DATE_TIME,FALSE,FALSE,更新日時
InstrumentClass,instrument_class_id,STRING,FALSE,FALSE,商品クラスID
InstrumentClass,name,STRING,FALSE,FALSE,商品クラス名（英語）
InstrumentClass,name_ja,STRING,FALSE,FALSE,商品クラス名（日本語）
InstrumentClass,fibo_domain,STRING,FALSE,FALSE,FIBOオントロジードメイン
Language,language_id,STRING,FALSE,FALSE,言語ID
Language,name,STRING,FALSE,FALSE,言語名（英語）
Language,name_ja,STRING,FALSE,FALSE,言語名（日本語）
MarketIndex,entity_id,STRING,FALSE,FALSE,エンティティID
MarketIndex,entity_key,STRING,FALSE,FALSE,複合キー（name::entity_type）
MarketIndex,entity_type,STRING,FALSE,FALSE,エンティティ種別（market_index）
MarketIndex,name,STRING,FALSE,FALSE,インデックス名（S&P500等）
MarketIndex,ticker,STRING,FALSE,FALSE,ティッカー（^SPX等）
MarketIndex,sub_type,STRING,FALSE,FALSE,サブタイプ
MarketIndex,sector,STRING,FALSE,FALSE,関連セクター
MarketIndex,industry,STRING,FALSE,FALSE,関連業種
MarketIndex,enriched_at,STRING,FALSE,FALSE,エンリッチメント日時
MarketIndex,created_at,DATE_TIME,FALSE,FALSE,作成日時
MarketIndex,updated_at,DATE_TIME,FALSE,FALSE,更新日時
Memory,skill_run_id,STRING,FALSE,FALSE,SkillRun参照ID
Memory,skill_name,STRING,FALSE,FALSE,スキル名
Memory,session_id,STRING,FALSE,FALSE,セッションID
Memory,command_source,STRING,FALSE,FALSE,コマンドソース
Memory,input_summary,STRING,FALSE,FALSE,入力サマリ
Memory,output_summary,STRING,FALSE,FALSE,出力サマリ
Memory,status,STRING,FALSE,FALSE,ステータス
Memory,start_at,DATE_TIME,FALSE,FALSE,開始日時
Memory,end_at,DATE_TIME,FALSE,FALSE,終了日時
Metric,metric_id,STRING,RANGE,UNIQUE,MetricUUID
Metric,canonical_name,STRING,RANGE,UNIQUE,正規化指標名
Metric,display_name,STRING,FALSE,FALSE,表示名
Metric,category,STRING,RANGE,FALSE,指標カテゴリ（income/balance/cashflow/valuation/macro等）
Metric,unit_standard,STRING,FALSE,FALSE,標準単位
Metric,comparable_across,STRING,FALSE,FALSE,比較可能な軸
Metric,aliases,LIST,FALSE,FALSE,別名リスト
Metric,created_at,DATE_TIME,FALSE,FALSE,作成日時
Organization,entity_id,STRING,FALSE,FALSE,エンティティID
Organization,entity_key,STRING,FALSE,FALSE,複合キー（name::entity_type）
Organization,entity_type,STRING,FALSE,FALSE,エンティティ種別（organization）
Organization,name,STRING,FALSE,FALSE,組織名
Organization,aliases,LIST,FALSE,FALSE,別名リスト
Organization,description,STRING,FALSE,FALSE,説明文
Organization,country,STRING,FALSE,FALSE,国コード
Organization,sector,STRING,FALSE,FALSE,セクター
Organization,industry,STRING,FALSE,FALSE,業種
Organization,sub_type,STRING,FALSE,FALSE,サブタイプ（government/ngo/central_bank等）
Organization,enriched_at,STRING,FALSE,FALSE,エンリッチメント日時
Organization,ingested_at,DATE_TIME,FALSE,FALSE,投入日時
Organization,created_at,DATE_TIME,FALSE,FALSE,作成日時
Organization,updated_at,DATE_TIME,FALSE,FALSE,更新日時
Person,entity_id,STRING,FALSE,FALSE,エンティティID
Person,entity_key,STRING,FALSE,FALSE,複合キー（name::entity_type）
Person,entity_type,STRING,FALSE,FALSE,エンティティ種別（person）
Person,name,STRING,FALSE,FALSE,人名
Person,aliases,LIST,FALSE,FALSE,別名リスト
Person,description,STRING,FALSE,FALSE,説明
Person,country,STRING,FALSE,FALSE,国コード
Person,sub_type,STRING,FALSE,FALSE,サブタイプ（ceo/analyst/politician/researcher等）
Person,enriched_at,STRING,FALSE,FALSE,エンリッチメント日時
Person,updated_at,DATE_TIME,FALSE,FALSE,更新日時
Pipeline,pipeline_id,STRING,FALSE,FALSE,パイプラインID
Pipeline,name,STRING,FALSE,FALSE,パイプライン名
Pipeline,description,STRING,FALSE,FALSE,説明
Pipeline,category,STRING,FALSE,FALSE,カテゴリ（research/creator/article等）
Product,entity_id,STRING,FALSE,FALSE,エンティティID
Product,entity_key,STRING,FALSE,FALSE,複合キー（name::entity_type）
Product,entity_type,STRING,FALSE,FALSE,エンティティ種別（product）
Product,name,STRING,FALSE,FALSE,製品・サービス名
Product,sub_type,STRING,FALSE,FALSE,サブタイプ
Product,created_at,DATE_TIME,FALSE,FALSE,作成日時
Product,updated_at,DATE_TIME,FALSE,FALSE,更新日時
QualitySnapshot,snapshot_id,STRING,FALSE,FALSE,スナップショットID
QualitySnapshot,overall_score,FLOAT,FALSE,FALSE,総合スコア（0-100）
QualitySnapshot,accuracy_score,FLOAT,FALSE,FALSE,正確性スコア
QualitySnapshot,completeness_score,FLOAT,FALSE,FALSE,完全性スコア
QualitySnapshot,consistency_score,FLOAT,FALSE,FALSE,一貫性スコア
QualitySnapshot,timeliness_score,FLOAT,FALSE,FALSE,時事性スコア
QualitySnapshot,structural_score,FLOAT,FALSE,FALSE,構造品質スコア
QualitySnapshot,discoverability_score,FLOAT,FALSE,FALSE,発見可能性スコア
QualitySnapshot,finance_specific_score,FLOAT,FALSE,FALSE,金融特化スコア
QualitySnapshot,rating,STRING,FALSE,FALSE,評価ランク（A/B/C/D等）
QualitySnapshot,timestamp,DATE_TIME,FALSE,FALSE,計測日時
QualitySnapshot,updated_at,DATE_TIME,FALSE,FALSE,更新日時
Question,question_id,STRING,FALSE,FALSE,質問ID
Question,question_type,STRING,FALSE,FALSE,質問種別
Question,content,STRING,FALSE,FALSE,質問内容
Question,priority,STRING,FALSE,FALSE,優先度
Question,status,STRING,FALSE,FALSE,ステータス（open/resolved等）
Question,created_at,DATE_TIME,FALSE,FALSE,作成日時
Sector,entity_id,STRING,FALSE,FALSE,エンティティID
Sector,entity_key,STRING,FALSE,FALSE,複合キー
Sector,entity_type,STRING,FALSE,FALSE,エンティティ種別（sector）
Sector,sector_key,STRING,FALSE,FALSE,セクターキー（GICS等）
Sector,name,STRING,FALSE,FALSE,セクター名
Sector,aliases,LIST,FALSE,FALSE,別名リスト
Sector,gics_code,STRING,FALSE,FALSE,GICSコード
Sector,sic_divisions,LIST,FALSE,FALSE,SIC部門リスト
Sector,sic_major_groups,LIST,FALSE,FALSE,SIC主要グループリスト
Sector,sic_codes_sample,LIST,FALSE,FALSE,SICコードサンプル
Sector,sub_type,STRING,FALSE,FALSE,サブタイプ
Sector,ingested_at,DATE_TIME,FALSE,FALSE,投入日時
Sector,created_at,DATE_TIME,FALSE,FALSE,作成日時
Sector,updated_at,DATE_TIME,FALSE,FALSE,更新日時
SkillRun,skill_run_id,STRING,FALSE,FALSE,実行UUID
SkillRun,skill_name,STRING,FALSE,FALSE,スキル名
SkillRun,session_id,STRING,FALSE,FALSE,セッションID
SkillRun,command_source,STRING,FALSE,FALSE,コマンドソース
SkillRun,input_summary,STRING,FALSE,FALSE,入力サマリ
SkillRun,output_summary,STRING,FALSE,FALSE,出力サマリ
SkillRun,status,STRING,FALSE,FALSE,ステータス（success/failed/running）
SkillRun,start_at,DATE_TIME,FALSE,FALSE,開始日時
SkillRun,end_at,DATE_TIME,FALSE,FALSE,終了日時
Source,source_id,STRING,RANGE,UNIQUE,Source UUID
Source,title,STRING,RANGE+FULLTEXT,FALSE,タイトル
Source,source_type,STRING,RANGE,FALSE,ソース種別（web/news/pdf/original/blog/sec_filing等）
Source,authority_level,STRING,RANGE,FALSE,権威レベル（primary/secondary/tertiary）
Source,url,STRING,FALSE,FALSE,元URL
Source,file_path,STRING,FALSE,FALSE,ファイルパス（ローカル）
Source,published_at,STRING,RANGE,FALSE,発行日時（ISO 8601）
Source,published,STRING,FALSE,FALSE,発行日（非正規化）
Source,published_date,STRING,FALSE,FALSE,発行日（別プロパティ）
Source,command_source,STRING,RANGE,FALSE,投入コマンド名
Source,domain,STRING,RANGE,FALSE,ドメイン名
Source,source_hash,STRING,FALSE,FALSE,重複検知ハッシュ
Source,language,STRING,FALSE,FALSE,言語コード
Source,organization,STRING,FALSE,FALSE,発行組織名（非正規化）
Source,publisher,STRING,FALSE,FALSE,出版社（非正規化）
Source,author,STRING,FALSE,FALSE,著者名（非正規化）
Source,authors,STRING,FALSE,FALSE,著者リスト（非正規化）
Source,arxiv_id,STRING,FALSE,FALSE,arXiv論文ID
Source,form_type,STRING,FALSE,FALSE,SEC Form種別（10-K/10-Q/8-K等）
Source,filing_date,STRING,FALSE,FALSE,SEC提出日
Source,accession_number,STRING,FALSE,FALSE,SECアクセッション番号
Source,period_end,STRING,FALSE,FALSE,報告期末日
Source,feed_source,STRING,FALSE,FALSE,RSSフィード名
Source,batch_label,STRING,FALSE,FALSE,バッチ識別子
Source,data_source,STRING,FALSE,FALSE,データソース名
Source,reliability,STRING,FALSE,FALSE,信頼性評価
Source,url_verified,BOOLEAN,FALSE,FALSE,URL検証済みフラグ
Source,collected_at,STRING,FALSE,FALSE,収集日時
Source,fetched_at,STRING,FALSE,FALSE,取得日時
Source,summary,STRING,FALSE,FALSE,要約
Source,category,STRING,FALSE,FALSE,カテゴリ分類
Source,name,STRING,FALSE,FALSE,ソース名
Source,ingested_at,DATE_TIME,FALSE,FALSE,投入日時
Source,created_at,DATE_TIME,FALSE,FALSE,作成日時
Source,updated_at,DATE_TIME,FALSE,FALSE,更新日時
SourceType,source_type_id,STRING,FALSE,FALSE,SourceType ID
SourceType,name,STRING,FALSE,FALSE,ソース種別名
Stance,stance_id,STRING,RANGE,UNIQUE,Stance UUID
Stance,stance_type,STRING,FALSE,FALSE,スタンス種別
Stance,sentiment,STRING,FALSE,FALSE,センチメント（bullish/bearish/neutral）
Stance,rating,STRING,FALSE,FALSE,レーティング（Buy/Hold/Sell等）
Stance,target_price,FLOAT,FALSE,FALSE,目標株価
Stance,target_price_currency,STRING,FALSE,FALSE,目標株価通貨
Stance,summary,STRING,FALSE,FALSE,スタンスサマリ
Stance,note,STRING,FALSE,FALSE,備考
Stance,as_of_date,STRING,FALSE,FALSE,スタンス基準日
Technology,entity_id,STRING,FALSE,FALSE,エンティティID
Technology,entity_key,STRING,FALSE,FALSE,複合キー（name::entity_type）
Technology,entity_type,STRING,FALSE,FALSE,エンティティ種別（technology）
Technology,name,STRING,FALSE,FALSE,テクノロジー名
Technology,description,STRING,FALSE,FALSE,説明
Technology,country,STRING,FALSE,FALSE,関連国
Technology,sub_type,STRING,FALSE,FALSE,サブタイプ
Technology,ingested_at,DATE_TIME,FALSE,FALSE,投入日時
Technology,created_at,DATE_TIME,FALSE,FALSE,作成日時
Technology,updated_at,DATE_TIME,FALSE,FALSE,更新日時
Topic,topic_id,STRING,RANGE,UNIQUE,Topic UUID
Topic,topic_key,STRING,RANGE,UNIQUE,複合キー（name::category）
Topic,name,STRING,RANGE+FULLTEXT,FALSE,トピック名
Topic,category,STRING,RANGE,FALSE,カテゴリ（macro/stock/asset/education/report/content_planning等）
Topic,description,STRING,FALSE,FALSE,説明文
Topic,ingested_at,DATE_TIME,FALSE,FALSE,投入日時
Topic,created_at,DATE_TIME,FALSE,FALSE,作成日時
TrustLevel,trust_level_id,STRING,FALSE,FALSE,信頼度レベルID
TrustLevel,name,STRING,FALSE,FALSE,信頼度レベル名（英語）
TrustLevel,name_ja,STRING,FALSE,FALSE,信頼度レベル名（日本語）
TrustLevel,rank,INTEGER,FALSE,FALSE,順序（数値が大きいほど高信頼）
UnitOfMeasure,unit_id,STRING,FALSE,FALSE,単位ID
UnitOfMeasure,name,STRING,FALSE,FALSE,単位名（dollars/percent/ratio等）
UnitOfMeasure,symbol,STRING,FALSE,FALSE,単位記号（$/%%等）
UnitOfMeasure,dimension,STRING,FALSE,FALSE,次元（currency/ratio/count等）
